accession,assay,organism,status,hsHSR_28,mmHSR_882,mmLM_343,mmLM_363,mmLM_540,mmLM_543,mmHSR_1865,mmHSR_2365
ENCFF750SRW,DNase-seq,mouse,released,99684.0,2231.0,402.0,175.0,325.0,294.0,138.0,183.0
ENCFF830CNG,RNA-seq,human,revoked,6.0,115.0,5495.0,12.0,5193.0,0.0,0.0,15.0
ENCFF000INM,RNA-seq,human,released,5.0,4.0,6922.0,0.0,2280.0,0.0,0.0,0.0
ENCFF000IOP,RNA-seq,human,released,25.0,75.0,6169.0,0.0,1711.0,0.0,0.0,8.0
ENCFF000GFD,RNA-seq,human,revoked,82.0,550.0,3184.0,36.0,1534.0,169.0,87.0,119.0
ENCFF000INN,RNA-seq,human,released,1.0,6.0,5262.0,0.0,3232.0,0.0,1.0,0.0
ENCFF630LYO,RNA-seq,human,revoked,10.0,44.0,394.0,16.0,4987.0,0.0,4.0,10.0
ENCFF000FLO,RNA-seq,human,released,115.0,77.0,1938.0,8.0,5309.0,0.0,0.0,47.0
ENCFF700QQQ,RNA-seq,human,released,22.0,12435.0,5394.0,6.0,6528.0,6.0,0.0,21.0
ENCFF000ILQ,RNA-seq,human,released,79.0,53.0,3794.0,51.0,2889.0,0.0,0.0,49.0
ENCFF000FAG,RNA-seq,human,released,4.0,6.0,2248.0,327.0,720.0,0.0,0.0,33.0
ENCFF000EUS,RNA-seq,human,released,88.0,956.0,11657.0,5.0,2117.0,17.0,0.0,117.0
ENCFF000GFS,RNA-seq,human,released,35.0,430.0,4122.0,5.0,1588.0,1.0,1.0,3.0
ENCFF000FKI,RNA-seq,human,released,20.0,43.0,1327.0,4.0,3647.0,0.0,0.0,226.0
ENCFF000GKC,RNA-seq,human,released,39.0,16.0,1776.0,17.0,3733.0,0.0,0.0,17.0
ENCFF000GXC,RNA-seq,human,released,46.0,214.0,2580.0,45.0,5924.0,0.0,0.0,54.0
ENCFF000GXV,RNA-seq,human,released,51.0,257.0,2651.0,12.0,4671.0,0.0,1.0,42.0
ENCFF000ILE,RNA-seq,human,released,44.0,22.0,3373.0,44.0,1993.0,0.0,6.0,20.0
