Cistrome_id,Species,External_id,External_id_type,Factor,Ontology,FastQC,MappedRatio,PBC,PeaksFoldChangeAbove10,FRiP,PeaksUnionDHSRatio,FastQC_flag,MappedRatio_flag,PBC_flag,FRiP_flag,DHSRatio_flag,sum_four_scores,ENCODE_accession,SRA_ENCODE,ENCODE_status
102717,mus_musculus,GSM2471347,GEO,Prdm16,MEL-745A cl. DS19,39.0,0.0,0.971,50.0,0.0105539999999973,0.6124031007751938,1,0,1,1,0,3,ENCFF001NAX,SRR5210713,released
102711,mus_musculus,GSM2471352,GEO,Prdm16,MEL-745A cl. DS19,39.0,0.0,0.967,5596.0,0.408166249999898,0.9978,1,0,1,1,1,4,ENCFF001MZO,SRR5210724,released
102715,mus_musculus,GSM2471349,GEO,Prdm16,MEL-745A cl. DS19,39.0,0.0,0.96,7043.0,0.4986257499998753,0.9992,1,0,1,1,1,4,ENCFF001MZX,SRR5210723,released
148063,mus_musculus,GSM5370437,GEO,Smad5,liver,38.0,0.0,0.99,80.0,0.06500568278249,0.9473053892215568,1,0,1,1,1,4,ENCFF150DJK,SRR14831489,released
153807,mus_musculus,GSM5378661,GEO,Smad5,lung,38.0,0.0,0.993,72.0,0.0365113631844288,0.981957773512476,1,0,1,1,1,4,ENCFF317EHD,SRR14842489,released
163649,mus_musculus,GSM6372664,GEO,Smad5,liver,38.0,0.0,0.991,52.0,0.0419029151560954,0.4405940594059406,1,0,1,1,0,3,ENCFF001ZYX,SRR20466367,released
163650,mus_musculus,GSM6372665,GEO,Smad5,liver,38.0,0.0,0.99,51.0,0.0504281251537545,0.378727634194831,1,0,1,1,0,3,ENCFF001ZYW,SRR20466368,released
172019,mus_musculus,GSM5669304,GEO,Smad5,macrophage,39.0,0.0,0.989,55.0,0.0792290316293236,0.8376068376068376,1,0,1,1,1,4,ENCFF503OGW,SRR16812805,released
172190,mus_musculus,GSM5669303,GEO,Smad5,macrophage,38.0,0.0,0.989,57.0,0.0802778025732242,0.8105726872246696,1,0,1,1,1,4,ENCFF016MGA,SRR16812803,released
172280,mus_musculus,GSM5669083,GEO,Smad5,macrophage,38.0,0.0,0.99,54.0,0.0772694116884914,0.8233082706766918,1,0,1,1,1,4,ENCFF495GLD,SRR16812125,released
172344,mus_musculus,GSM5669084,GEO,Smad5,macrophage,38.0,0.0,0.989,60.0,0.0816171125176944,0.8288973384030418,1,0,1,1,1,4,ENCFF451SQE,SRR16812127,released
