Accession,Dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10
ENCFF001MYM,/experiments/ENCSR000ADH/,0,0,0,1,0,1,0,0,0,0
ENCFF001MXH,/experiments/ENCSR000ADI/,0,0,0,1,0,0,0,0,1,1
ENCFF001MXF,/experiments/ENCSR000ADI/,0,0,0,1,0,0,0,0,1,1
ENCFF001NNP,/experiments/ENCSR000ADJ/,0,0,0,1,0,0,0,0,0,0
ENCFF001NNN,/experiments/ENCSR000ADJ/,0,0,0,1,0,0,0,0,0,0
ENCFF001MYH,/experiments/ENCSR000ADJ/,0,0,0,1,0,0,0,0,0,0
ENCFF001MYJ,/experiments/ENCSR000ADJ/,0,0,0,1,0,0,0,0,0,0
ENCFF001MXK,/experiments/ENCSR000ADK/,1,0,0,0,0,0,1,0,0,0
ENCFF001MXN,/experiments/ENCSR000ADK/,1,0,0,0,0,0,1,0,0,0
ENCFF001MXL,/experiments/ENCSR000ADK/,1,0,0,0,0,0,1,0,0,0
ENCFF001MXM,/experiments/ENCSR000ADK/,1,0,0,0,0,0,1,0,0,0
ENCFF001MXT,/experiments/ENCSR000ADL/,1,0,0,0,0,0,0,1,0,0
ENCFF001MXU,/experiments/ENCSR000ADL/,1,0,0,0,0,0,0,1,0,0
ENCFF001MXS,/experiments/ENCSR000ADL/,1,0,0,0,0,0,0,1,0,0
ENCFF001MXV,/experiments/ENCSR000ADL/,1,0,0,0,0,0,0,1,0,0
ENCFF001MYC,/experiments/ENCSR000ADM/,0,0,0,1,0,0,0,1,0,0
ENCFF001MYA,/experiments/ENCSR000ADM/,0,0,0,1,0,0,0,1,0,0
ENCFF001MYD,/experiments/ENCSR000ADM/,0,0,0,1,0,0,0,1,0,0
ENCFF001MYB,/experiments/ENCSR000ADM/,0,0,0,1,0,0,0,1,0,0
ENCFF001NCI,/experiments/ENCSR000ADN/,1,0,0,0,0,1,0,0,0,0
ENCFF001NCG,/experiments/ENCSR000ADN/,1,0,0,0,0,1,0,0,0,0
ENCFF001NUT,/experiments/ENCSR000ADN/,1,0,0,0,0,1,0,0,0,0
ENCFF001NCH,/experiments/ENCSR000ADN/,1,0,0,0,0,1,0,0,0,0
ENCFF001NCF,/experiments/ENCSR000ADN/,1,0,0,0,0,1,0,0,0,0
ENCFF001NAV,/experiments/ENCSR000ADP/,1,0,0,0,0,0,0,0,0,0
ENCFF001NAY,/experiments/ENCSR000ADP/,1,0,0,0,0,0,0,0,0,0
ENCFF001NAX,/experiments/ENCSR000ADP/,1,0,0,0,0,0,0,0,0,0
ENCFF001NAW,/experiments/ENCSR000ADP/,1,0,0,0,0,0,0,0,0,0
ENCFF001MYW,/experiments/ENCSR000ADQ/,0,0,0,0,1,0,0,1,0,0
ENCFF001MYZ,/experiments/ENCSR000ADQ/,0,0,0,0,1,0,0,1,0,0
ENCFF001MYY,/experiments/ENCSR000ADQ/,0,0,0,0,1,0,0,1,0,0
ENCFF001MYX,/experiments/ENCSR000ADQ/,0,0,0,0,1,0,0,1,0,0
ENCFF001MZW,/experiments/ENCSR000ADR/,0,0,1,0,0,0,1,0,0,0
ENCFF001MZX,/experiments/ENCSR000ADR/,0,0,1,0,0,0,1,0,0,0
ENCFF001MZV,/experiments/ENCSR000ADR/,0,0,1,0,0,0,1,0,0,0
ENCFF001MZY,/experiments/ENCSR000ADR/,0,0,1,0,0,0,1,0,0,0
ENCFF001NAO,/experiments/ENCSR000ADT/,1,0,0,0,0,0,1,0,0,0
ENCFF001NAQ,/experiments/ENCSR000ADT/,1,0,0,0,0,0,1,0,0,0
ENCFF001NAP,/experiments/ENCSR000ADT/,1,0,0,0,0,0,1,0,0,0
ENCFF001NAN,/experiments/ENCSR000ADT/,1,0,0,0,0,0,1,0,0,0
ENCFF001NCB,/experiments/ENCSR000ADU/,0,1,0,0,0,0,0,0,0,0
ENCFF001NTU,/experiments/ENCSR000ADU/,0,1,0,0,0,0,0,0,0,0
ENCFF001NCD,/experiments/ENCSR000ADU/,0,1,0,0,0,0,0,0,0,0
ENCFF001NTS,/experiments/ENCSR000ADU/,0,1,0,0,0,0,0,0,0,0
ENCFF001NBF,/experiments/ENCSR000ADW/,0,0,0,1,0,0,1,0,0,1
ENCFF001NBH,/experiments/ENCSR000ADW/,0,0,0,1,0,0,1,0,0,1
ENCFF001NBG,/experiments/ENCSR000ADW/,0,0,0,1,0,0,1,0,0,1
ENCFF001NBD,/experiments/ENCSR000ADW/,0,0,0,1,0,0,1,0,0,1
ENCFF001NBN,/experiments/ENCSR000ADX/,0,1,0,0,0,0,0,0,1,1
ENCFF001NBP,/experiments/ENCSR000ADX/,0,1,0,0,0,0,0,0,1,1
ENCFF001NBO,/experiments/ENCSR000ADX/,0,1,0,0,0,0,0,0,1,1
ENCFF001NBL,/experiments/ENCSR000ADX/,0,1,0,0,0,0,0,0,1,1
ENCFF001MYO,/experiments/ENCSR000ADY/,0,0,0,0,1,0,0,0,0,0
ENCFF001MYQ,/experiments/ENCSR000ADY/,0,0,0,0,1,0,0,0,0,0
ENCFF001MYR,/experiments/ENCSR000ADY/,0,0,0,0,1,0,0,0,0,0
ENCFF001MYT,/experiments/ENCSR000ADY/,0,0,0,0,1,0,0,0,0,0
ENCFF001MZO,/experiments/ENCSR000AEA/,1,0,0,0,0,0,0,0,1,0
ENCFF001MZP,/experiments/ENCSR000AEA/,1,0,0,0,0,0,0,0,1,0
ENCFF001MZM,/experiments/ENCSR000AEA/,1,0,0,0,0,0,0,0,1,0
ENCFF001MZN,/experiments/ENCSR000AEA/,1,0,0,0,0,0,0,0,1,0
ENCFF001NAH,/experiments/ENCSR000AEB/,0,0,1,0,0,1,0,0,0,0
ENCFF001NAG,/experiments/ENCSR000AEB/,0,0,1,0,0,1,0,0,0,0
ENCFF001NAF,/experiments/ENCSR000AEB/,0,0,1,0,0,1,0,0,0,0
ENCFF001NAI,/experiments/ENCSR000AEB/,0,0,1,0,0,1,0,0,0,0
ENCFF000QLT,/experiments/ENCSR000AHD/,1,0,0,0,0,0,0,0,0,0
ENCFF000QLW,/experiments/ENCSR000AHD/,1,0,0,0,0,0,0,0,0,0
ENCFF000QQG,/experiments/ENCSR000AHE/,0,1,0,0,0,0,0,0,1,0
ENCFF000QQK,/experiments/ENCSR000AHE/,0,1,0,0,0,0,0,0,1,0
ENCFF000QQI,/experiments/ENCSR000AHE/,0,1,0,0,0,0,0,0,1,0
ENCFF000QQJ,/experiments/ENCSR000AHE/,0,1,0,0,0,0,0,0,1,0
ENCFF000QRL,/experiments/ENCSR000AHF/,0,0,1,0,0,1,0,0,0,0
ENCFF000QRS,/experiments/ENCSR000AHF/,0,0,1,0,0,1,0,0,0,0
ENCFF001MZF,/experiments/ENCSR000AHJ/,0,0,0,0,1,0,0,1,0,0
ENCFF001MZH,/experiments/ENCSR000AHJ/,0,0,0,0,1,0,0,1,0,0
ENCFF001MZI,/experiments/ENCSR000AHJ/,0,0,0,0,1,0,0,1,0,0
ENCFF001MZG,/experiments/ENCSR000AHJ/,0,0,0,0,1,0,0,1,0,0
ENCFF001NBV,/experiments/ENCSR000AHK/,1,0,0,0,0,0,0,0,0,1
ENCFF001NBT,/experiments/ENCSR000AHK/,1,0,0,0,0,0,0,0,0,1
ENCFF001IBZ,/experiments/ENCSR000AHL/,0,1,0,0,0,0,0,0,1,0
ENCFF001IAJ,/experiments/ENCSR000AHM/,1,0,0,0,0,1,0,0,0,0
ENCFF001IAL,/experiments/ENCSR000AHM/,1,0,0,0,0,1,0,0,0,0
ENCFF001IAK,/experiments/ENCSR000AHM/,1,0,0,0,0,1,0,0,0,0
ENCFF001IAB,/experiments/ENCSR000AHN/,0,0,1,0,0,0,0,1,0,0
ENCFF001IBG,/experiments/ENCSR000AHO/,0,0,0,1,0,0,0,0,0,0
ENCFF001HZV,/experiments/ENCSR000AHP/,0,0,1,0,0,0,0,0,1,0
ENCFF001HZW,/experiments/ENCSR000AHP/,0,0,1,0,0,0,0,0,1,0
