Accession,Dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10
ENCFF001LUH,/experiments/ENCSR000CHP/,0,0,0,0,0,0,0,1,0,0
ENCFF001LUD,/experiments/ENCSR000CHP/,0,0,0,0,0,0,0,1,0,0
ENCFF001LUS,/experiments/ENCSR000CHQ/,0,0,0,0,0,1,0,1,0,0
ENCFF001LUL,/experiments/ENCSR000CHQ/,0,0,0,0,0,1,0,1,0,0
ENCFF453ODB,/experiments/ENCSR000CMJ/,0,0,0,0,0,1,0,0,1,1
ENCFF420XKP,/experiments/ENCSR000CMJ/,0,0,0,0,0,1,0,0,1,1
ENCFF726CHP,/experiments/ENCSR000CMJ/,0,0,0,0,0,1,0,0,1,1
ENCFF072DJC,/experiments/ENCSR000CMJ/,0,0,0,0,0,1,0,0,1,1
ENCFF788AAX,/experiments/ENCSR000CMJ/,0,0,0,0,0,1,0,0,1,1
ENCFF727JMH,/experiments/ENCSR000CMJ/,0,0,0,0,0,1,0,0,1,1
ENCFF967GQJ,/experiments/ENCSR000CMJ/,0,0,0,0,0,1,0,0,1,1
ENCFF413VUG,/experiments/ENCSR000CMJ/,0,0,0,0,0,1,0,0,1,1
ENCFF556KXP,/experiments/ENCSR000CMJ/,0,0,0,0,0,1,0,0,1,1
ENCFF049ESY,/experiments/ENCSR000CMJ/,0,0,0,0,0,1,0,0,1,1
ENCFF850CSA,/experiments/ENCSR000CMJ/,0,0,0,0,0,1,0,0,1,1
ENCFF001ODJ,/experiments/ENCSR000CMK/,0,1,0,1,1,0,0,0,1,0
ENCFF001PDD,/experiments/ENCSR000CMK/,0,1,0,1,1,0,0,0,1,0
ENCFF426NGL,/experiments/ENCSR000CMK/,0,1,0,1,1,0,0,0,1,0
ENCFF798MOB,/experiments/ENCSR000CMK/,0,1,0,1,1,0,0,0,1,0
ENCFF001ODI,/experiments/ENCSR000CMK/,0,1,0,1,1,0,0,0,1,0
ENCFF001PDQ,/experiments/ENCSR000CMK/,0,1,0,1,1,0,0,0,1,0
ENCFF628VWH,/experiments/ENCSR000CML/,1,1,0,0,0,0,0,0,0,0
ENCFF001PDM,/experiments/ENCSR000CML/,1,1,0,0,0,0,0,0,0,0
ENCFF001PDK,/experiments/ENCSR000CML/,1,1,0,0,0,0,0,0,0,0
ENCFF001PDJ,/experiments/ENCSR000CML/,1,1,0,0,0,0,0,0,0,0
ENCFF001PDN,/experiments/ENCSR000CML/,1,1,0,0,0,0,0,0,0,0
ENCFF001PDL,/experiments/ENCSR000CML/,1,1,0,0,0,0,0,0,0,0
