Accession,Dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10
ENCFF001QZQ,/experiments/ENCSR000AAA/,1,0,0,0,0,0,0,0,0,0
ENCFF001RAM,/experiments/ENCSR000AAA/,1,0,0,0,0,0,0,0,0,0
ENCFF001RAI,/experiments/ENCSR000AAB/,0,1,0,0,0,0,0,0,1,0
ENCFF001QZK,/experiments/ENCSR000AAB/,0,1,0,0,0,0,0,0,1,0
ENCFF001QZS,/experiments/ENCSR000AAC/,0,0,0,0,0,0,0,0,0,1
ENCFF001RAO,/experiments/ENCSR000AAC/,0,0,0,0,0,0,0,0,0,1
ENCFF001RAC,/experiments/ENCSR000AAD/,1,0,0,0,0,0,0,0,1,0
ENCFF001RBO,/experiments/ENCSR000AAD/,1,0,0,0,0,0,0,0,1,0
ENCFF001RAS,/experiments/ENCSR000AAE/,0,0,0,1,0,1,0,0,0,0
ENCFF001RAG,/experiments/ENCSR000AAE/,0,0,0,1,0,1,0,0,0,0
ENCFF001RBK,/experiments/ENCSR000AAF/,1,0,0,0,0,0,0,0,0,0
ENCFF001RAA,/experiments/ENCSR000AAF/,1,0,0,0,0,0,0,0,0,0
ENCFF001QZY,/experiments/ENCSR000AAG/,0,0,0,0,1,0,0,0,0,1
ENCFF001RCG,/experiments/ENCSR000AAG/,0,0,0,0,1,0,0,0,0,1
ENCFF001RAE,/experiments/ENCSR000AAH/,0,0,1,0,0,1,0,1,0,0
ENCFF001RBM,/experiments/ENCSR000AAH/,0,0,1,0,0,1,0,1,0,0
ENCFF001QZG,/experiments/ENCSR000AAI/,0,1,0,0,0,0,0,0,0,0
ENCFF001RAQ,/experiments/ENCSR000AAI/,0,1,0,0,0,0,0,0,0,0
ENCFF001RAY,/experiments/ENCSR000AAJ/,0,0,1,0,0,0,0,0,1,0
ENCFF001RBQ,/experiments/ENCSR000AAJ/,0,0,1,0,0,0,0,0,1,0
ENCFF001RAW,/experiments/ENCSR000AAK/,0,0,0,0,0,0,0,0,1,0
ENCFF001RBE,/experiments/ENCSR000AAK/,0,0,0,0,0,0,0,0,1,0
ENCFF001QZE,/experiments/ENCSR000AAL/,0,0,0,0,1,0,0,0,1,0
ENCFF001QZI,/experiments/ENCSR000AAL/,0,0,0,0,1,0,0,0,1,0
ENCFF001RCE,/experiments/ENCSR000AAM/,0,0,0,1,0,0,1,0,0,0
ENCFF001QZU,/experiments/ENCSR000AAM/,0,0,0,1,0,0,1,0,0,0
ENCFF001RCA,/experiments/ENCSR000AAN/,1,0,0,1,0,0,0,0,0,1
ENCFF001RDO,/experiments/ENCSR000AAN/,1,0,0,1,0,0,0,0,0,1
ENCFF001RBI,/experiments/ENCSR000AAO/,0,0,1,0,0,0,0,1,0,0
ENCFF001QZO,/experiments/ENCSR000AAO/,0,0,1,0,0,0,0,1,0,0
ENCFF001RBW,/experiments/ENCSR000AAP/,0,1,0,0,0,1,0,0,0,1
ENCFF001RBG,/experiments/ENCSR000AAP/,0,1,0,0,0,1,0,0,0,1
ENCFF001RAU,/experiments/ENCSR000AAQ/,1,0,0,0,0,0,0,0,0,0
ENCFF001QZC,/experiments/ENCSR000AAQ/,1,0,0,0,0,0,0,0,0,0
ENCFF001RBS,/experiments/ENCSR000AAR/,0,0,1,0,1,0,0,0,0,1
ENCFF001RAK,/experiments/ENCSR000AAR/,0,0,1,0,1,0,0,0,0,1
ENCFF001RDQ,/experiments/ENCSR000AAS/,1,0,0,1,0,1,0,1,0,0
ENCFF001QZM,/experiments/ENCSR000AAS/,1,0,0,1,0,1,0,1,0,0
ENCFF001RBC,/experiments/ENCSR000AAT/,0,0,1,0,0,0,0,1,0,0
ENCFF001QZW,/experiments/ENCSR000AAT/,0,0,1,0,0,0,0,1,0,0
ENCFF001RBU,/experiments/ENCSR000AAU/,0,0,1,0,0,1,1,0,0,0
ENCFF001RBY,/experiments/ENCSR000AAU/,0,0,1,0,0,1,1,0,0,0
ENCFF001RBA,/experiments/ENCSR000AAV/,0,0,0,1,0,1,0,0,0,0
ENCFF001RCC,/experiments/ENCSR000AAV/,0,0,0,1,0,1,0,0,0,0
ENCFF001MYM,/experiments/ENCSR000ADH/,0,1,0,0,0,0,1,0,0,0
ENCFF001MXF,/experiments/ENCSR000ADI/,0,0,1,0,1,0,1,0,0,0
ENCFF001MXH,/experiments/ENCSR000ADI/,0,0,1,0,1,0,1,0,0,0
ENCFF001NNN,/experiments/ENCSR000ADJ/,0,1,0,0,1,0,1,0,0,0
ENCFF001MYH,/experiments/ENCSR000ADJ/,0,1,0,0,1,0,1,0,0,0
ENCFF001MYJ,/experiments/ENCSR000ADJ/,0,1,0,0,1,0,1,0,0,0
ENCFF001NNP,/experiments/ENCSR000ADJ/,0,1,0,0,1,0,1,0,0,0
ENCFF001MXL,/experiments/ENCSR000ADK/,1,0,0,0,0,1,0,0,0,0
ENCFF001MXM,/experiments/ENCSR000ADK/,1,0,0,0,0,1,0,0,0,0
ENCFF001MXK,/experiments/ENCSR000ADK/,1,0,0,0,0,1,0,0,0,0
ENCFF001MXN,/experiments/ENCSR000ADK/,1,0,0,0,0,1,0,0,0,0
ENCFF001MXV,/experiments/ENCSR000ADL/,0,0,0,1,1,0,1,0,0,0
ENCFF001MXT,/experiments/ENCSR000ADL/,0,0,0,1,1,0,1,0,0,0
ENCFF001MXU,/experiments/ENCSR000ADL/,0,0,0,1,1,0,1,0,0,0
ENCFF001MXS,/experiments/ENCSR000ADL/,0,0,0,1,1,0,1,0,0,0
ENCFF001MYC,/experiments/ENCSR000ADM/,0,1,0,0,0,0,1,0,0,0
ENCFF001MYA,/experiments/ENCSR000ADM/,0,1,0,0,0,0,1,0,0,0
ENCFF001MYD,/experiments/ENCSR000ADM/,0,1,0,0,0,0,1,0,0,0
ENCFF001MYB,/experiments/ENCSR000ADM/,0,1,0,0,0,0,1,0,0,0
ENCFF001NCF,/experiments/ENCSR000ADN/,0,0,1,0,1,0,0,0,0,0
ENCFF001NCG,/experiments/ENCSR000ADN/,0,0,1,0,1,0,0,0,0,0
ENCFF001NCH,/experiments/ENCSR000ADN/,0,0,1,0,1,0,0,0,0,0
ENCFF001NUT,/experiments/ENCSR000ADN/,0,0,1,0,1,0,0,0,0,0
ENCFF001NCI,/experiments/ENCSR000ADN/,0,0,1,0,1,0,0,0,0,0
ENCFF001NAV,/experiments/ENCSR000ADP/,0,0,0,0,0,1,1,0,0,0
ENCFF001NAY,/experiments/ENCSR000ADP/,0,0,0,0,0,1,1,0,0,0
ENCFF001NAW,/experiments/ENCSR000ADP/,0,0,0,0,0,1,1,0,0,0
ENCFF001NAX,/experiments/ENCSR000ADP/,0,0,0,0,0,1,1,0,0,0
ENCFF001MYW,/experiments/ENCSR000ADQ/,0,1,0,0,0,0,0,1,0,0
ENCFF001MYY,/experiments/ENCSR000ADQ/,0,1,0,0,0,0,0,1,0,0
ENCFF001MYZ,/experiments/ENCSR000ADQ/,0,1,0,0,0,0,0,1,0,0
ENCFF001MYX,/experiments/ENCSR000ADQ/,0,1,0,0,0,0,0,1,0,0
ENCFF001MZX,/experiments/ENCSR000ADR/,0,0,1,0,0,1,0,0,0,0
ENCFF001MZV,/experiments/ENCSR000ADR/,0,0,1,0,0,1,0,0,0,0
ENCFF001MZW,/experiments/ENCSR000ADR/,0,0,1,0,0,1,0,0,0,0
ENCFF001MZY,/experiments/ENCSR000ADR/,0,0,1,0,0,1,0,0,0,0
ENCFF001NAP,/experiments/ENCSR000ADT/,0,1,0,0,0,1,0,0,0,1
ENCFF001NAO,/experiments/ENCSR000ADT/,0,1,0,0,0,1,0,0,0,1
ENCFF001NAQ,/experiments/ENCSR000ADT/,0,1,0,0,0,1,0,0,0,1
ENCFF001NAN,/experiments/ENCSR000ADT/,0,1,0,0,0,1,0,0,0,1
ENCFF001NCB,/experiments/ENCSR000ADU/,0,0,0,0,0,0,0,0,1,0
ENCFF001NTS,/experiments/ENCSR000ADU/,0,0,0,0,0,0,0,0,1,0
ENCFF001NTU,/experiments/ENCSR000ADU/,0,0,0,0,0,0,0,0,1,0
ENCFF001NCD,/experiments/ENCSR000ADU/,0,0,0,0,0,0,0,0,1,0
ENCFF001NBG,/experiments/ENCSR000ADW/,0,0,0,0,0,0,1,0,0,0
ENCFF001NBD,/experiments/ENCSR000ADW/,0,0,0,0,0,0,1,0,0,0
ENCFF001NBH,/experiments/ENCSR000ADW/,0,0,0,0,0,0,1,0,0,0
ENCFF001NBF,/experiments/ENCSR000ADW/,0,0,0,0,0,0,1,0,0,0
ENCFF001NBL,/experiments/ENCSR000ADX/,0,0,0,0,0,0,0,0,1,0
ENCFF001NBO,/experiments/ENCSR000ADX/,0,0,0,0,0,0,0,0,1,0
ENCFF001NBP,/experiments/ENCSR000ADX/,0,0,0,0,0,0,0,0,1,0
ENCFF001NBN,/experiments/ENCSR000ADX/,0,0,0,0,0,0,0,0,1,0
ENCFF001MYQ,/experiments/ENCSR000ADY/,0,0,0,0,0,0,1,0,0,0
ENCFF001MYR,/experiments/ENCSR000ADY/,0,0,0,0,0,0,1,0,0,0
