Accession,Dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10
ENCFF470BUR,/experiments/ENCSR000SSH/,0,1,1,0,1,0,0,0,1,0
ENCFF334ONA,/experiments/ENCSR000SSH/,0,1,1,0,1,0,0,0,1,0
ENCFF877HWY,/experiments/ENCSR001KKZ/,0,0,0,0,0,0,0,0,0,0
ENCFF461CTN,/experiments/ENCSR001KKZ/,0,0,0,0,0,0,0,0,0,0
ENCFF498BYQ,/experiments/ENCSR001VAC/,0,1,0,1,0,0,0,0,0,0
ENCFF120UIK,/experiments/ENCSR001VAC/,0,1,0,1,0,0,0,0,0,0
ENCFF930FVO,/experiments/ENCSR004VIR/,0,0,0,0,0,0,0,1,0,0
ENCFF928PQT,/experiments/ENCSR004VIR/,0,0,0,0,0,0,0,1,0,0
ENCFF874PCG,/experiments/ENCSR006OEQ/,1,1,1,0,0,0,0,1,0,1
ENCFF352HXC,/experiments/ENCSR006OEQ/,1,1,1,0,0,0,0,1,0,1
ENCFF884KLU,/experiments/ENCSR008MQM/,1,0,0,0,0,0,0,1,0,0
ENCFF338ZLQ,/experiments/ENCSR008MQM/,1,0,0,0,0,0,0,1,0,0
ENCFF813QRH,/experiments/ENCSR009CIV/,0,1,1,0,0,0,0,0,0,0
ENCFF357QDX,/experiments/ENCSR013CTQ/,0,0,0,0,1,0,0,0,1,1
ENCFF609MDJ,/experiments/ENCSR013CTQ/,0,0,0,0,1,0,0,0,1,1
ENCFF841ZMA,/experiments/ENCSR018RVZ/,1,0,1,0,1,0,0,0,0,0
ENCFF731KNX,/experiments/ENCSR018RVZ/,1,0,1,0,1,0,0,0,0,0
ENCFF019WXR,/experiments/ENCSR018WPY/,0,0,0,0,0,0,0,0,0,0
ENCFF455ERC,/experiments/ENCSR018WPY/,0,0,0,0,0,0,0,0,0,0
ENCFF975CKG,/experiments/ENCSR018ZUE/,0,0,0,0,1,0,0,1,1,1
ENCFF214SWU,/experiments/ENCSR018ZUE/,0,0,0,0,1,0,0,1,1,1
ENCFF408YYK,/experiments/ENCSR022BVV/,0,0,1,0,0,0,0,0,0,1
ENCFF924IHY,/experiments/ENCSR022BVV/,0,0,1,0,0,0,0,0,0,1
ENCFF627GSD,/experiments/ENCSR023PKW/,0,0,0,0,0,0,0,0,0,0
ENCFF548DYX,/experiments/ENCSR023PKW/,0,0,0,0,0,0,0,0,0,0
ENCFF128ROY,/experiments/ENCSR023UHL/,0,0,0,0,0,1,0,0,0,0
ENCFF891HJO,/experiments/ENCSR023UHL/,0,0,0,0,0,1,0,0,0,0
ENCFF006DQH,/experiments/ENCSR028CRL/,0,0,0,0,0,1,0,0,0,0
ENCFF639TBT,/experiments/ENCSR033FWT/,0,0,0,1,0,0,0,0,1,0
ENCFF673VLP,/experiments/ENCSR038JME/,0,0,0,0,0,0,0,0,1,0
ENCFF553UKA,/experiments/ENCSR038JME/,0,0,0,0,0,0,0,0,1,0
ENCFF397TYS,/experiments/ENCSR038TMA/,0,0,1,0,0,0,0,0,0,0
ENCFF671GCD,/experiments/ENCSR040QLV/,0,0,1,0,0,0,0,0,0,0
ENCFF363TSA,/experiments/ENCSR040QLV/,0,0,1,0,0,0,0,0,0,0
ENCFF851SIK,/experiments/ENCSR041NUV/,0,0,0,0,1,0,0,0,0,0
ENCFF024EQI,/experiments/ENCSR041NUV/,0,0,0,0,1,0,0,0,0,0
ENCFF159XFE,/experiments/ENCSR042RCU/,0,0,1,0,0,0,0,0,0,1
ENCFF656XSL,/experiments/ENCSR044NGV/,0,0,1,0,0,1,1,1,0,0
ENCFF445MTV,/experiments/ENCSR046JHH/,0,1,0,0,0,1,0,0,0,0
ENCFF764VBB,/experiments/ENCSR046JHH/,0,1,0,0,0,1,0,0,0,0
ENCFF156ZDE,/experiments/ENCSR049GND/,0,0,1,0,0,0,0,1,0,0
ENCFF522VGK,/experiments/ENCSR050BDZ/,0,0,0,1,0,1,1,0,0,0
ENCFF283KXT,/experiments/ENCSR050BDZ/,0,0,0,1,0,1,1,0,0,0
ENCFF495WQA,/experiments/ENCSR051IXX/,0,0,0,0,1,1,0,0,0,0
ENCFF414YHF,/experiments/ENCSR056RZV/,0,0,0,0,0,0,1,0,0,0
ENCFF893QVN,/experiments/ENCSR057DWB/,1,1,0,0,1,0,1,0,1,0
ENCFF604VPQ,/experiments/ENCSR057DWB/,1,1,0,0,1,0,1,0,1,0
ENCFF313UGS,/experiments/ENCSR058PIY/,0,0,0,0,1,0,1,0,0,0
ENCFF306KCA,/experiments/ENCSR058PIY/,0,0,0,0,1,0,1,0,0,0
ENCFF114WDK,/experiments/ENCSR059CWF/,0,0,0,0,0,1,0,0,0,1
ENCFF523LSW,/experiments/ENCSR059CWF/,0,0,0,0,0,1,0,0,0,1
ENCFF020YXZ,/experiments/ENCSR060MRW/,0,0,0,1,0,1,0,0,1,0
ENCFF118MKD,/experiments/ENCSR060MRW/,0,0,0,1,0,1,0,0,1,0
ENCFF361CSS,/experiments/ENCSR060VZF/,0,0,0,0,0,0,1,1,0,0
ENCFF303YBI,/experiments/ENCSR061EVO/,0,1,0,0,0,0,0,0,0,1
ENCFF886NVW,/experiments/ENCSR061EVO/,0,1,0,0,0,0,0,0,0,1
ENCFF905UKZ,/experiments/ENCSR061SZV/,0,0,0,1,0,0,0,1,1,0
ENCFF542YWU,/experiments/ENCSR061SZV/,0,0,0,1,0,0,0,1,1,0
ENCFF307AUO,/experiments/ENCSR062NNB/,0,0,0,0,1,1,0,1,0,0
ENCFF643OXD,/experiments/ENCSR062NNB/,0,0,0,0,1,1,0,1,0,0
ENCFF110AGV,/experiments/ENCSR067UKU/,0,0,0,0,0,1,0,1,0,0
ENCFF307BRQ,/experiments/ENCSR069EVH/,0,1,0,0,0,0,0,0,0,0
ENCFF336ZEJ,/experiments/ENCSR069EVH/,0,1,0,0,0,0,0,0,0,0
ENCFF742YFO,/experiments/ENCSR077KVG/,0,0,0,0,0,1,0,0,0,1
ENCFF489GBW,/experiments/ENCSR080OLK/,0,0,0,0,0,0,1,0,0,0
ENCFF149VKG,/experiments/ENCSR081JYH/,0,1,0,0,0,0,0,1,0,0
ENCFF839INY,/experiments/ENCSR081JYH/,0,1,0,0,0,0,0,1,0,0
ENCFF727FEM,/experiments/ENCSR081WUU/,0,0,1,0,1,0,0,0,0,0
ENCFF503AHN,/experiments/ENCSR085JPB/,0,0,0,1,1,0,0,1,0,0
ENCFF577MTW,/experiments/ENCSR085JPB/,0,0,0,1,1,0,0,1,0,0
ENCFF241MTQ,/experiments/ENCSR089BXO/,1,0,1,0,0,0,0,0,0,1
ENCFF087VMD,/experiments/ENCSR089BXO/,1,0,1,0,0,0,0,0,0,1
ENCFF786UGT,/experiments/ENCSR090LNQ/,0,0,0,0,0,0,0,1,1,0
ENCFF452ZWM,/experiments/ENCSR090LNQ/,0,0,0,0,0,0,0,1,1,0
ENCFF060CDK,/experiments/ENCSR090VXV/,1,0,0,1,0,0,0,1,0,0
ENCFF029VYS,/experiments/ENCSR095SIV/,0,1,0,0,0,0,0,0,0,1
ENCFF486ZOM,/experiments/ENCSR096SZE/,0,0,0,1,0,1,0,1,1,0
ENCFF164ISP,/experiments/ENCSR096YAP/,0,0,0,0,1,1,0,0,0,1
ENCFF273TMJ,/experiments/ENCSR096YAP/,0,0,0,0,1,1,0,0,0,1
ENCFF477APU,/experiments/ENCSR097NEE/,0,0,0,0,0,0,0,0,1,0
ENCFF647KKB,/experiments/ENCSR097NEE/,0,0,0,0,0,0,0,0,1,0
ENCFF612GEW,/experiments/ENCSR098VKQ/,0,0,1,0,0,0,0,1,0,0
ENCFF219DHH,/experiments/ENCSR099KAK/,0,1,0,0,0,1,0,1,1,0
ENCFF182GNB,/experiments/ENCSR100ARZ/,0,1,0,0,1,0,1,0,0,0
ENCFF915ASX,/experiments/ENCSR100ARZ/,0,1,0,0,1,0,1,0,0,0
ENCFF928TNJ,/experiments/ENCSR103HDM/,0,0,0,0,0,1,0,1,1,0
ENCFF854MYE,/experiments/ENCSR110XNS/,0,0,0,0,0,0,0,0,0,0
ENCFF705HGN,/experiments/ENCSR111UKN/,0,0,0,0,0,0,0,0,0,0
ENCFF991BGJ,/experiments/ENCSR111UKN/,0,0,0,0,0,0,0,0,0,0
ENCFF085YZL,/experiments/ENCSR111USM/,0,0,1,0,0,0,0,1,1,1
ENCFF356BGH,/experiments/ENCSR114XBO/,1,1,0,0,0,1,0,0,0,1
ENCFF837BRE,/experiments/ENCSR115GAA/,0,0,0,0,0,1,1,0,0,0
ENCFF507IXS,/experiments/ENCSR119AFY/,0,0,0,0,0,0,0,0,0,1
ENCFF111EUR,/experiments/ENCSR120EAR/,0,0,0,0,0,0,0,0,0,0
ENCFF250XVF,/experiments/ENCSR120EAR/,0,0,0,0,0,0,0,0,0,0
ENCFF628QLB,/experiments/ENCSR121GQH/,0,0,0,0,0,0,0,0,0,0
ENCFF690PXO,/experiments/ENCSR121GQH/,0,0,0,0,0,0,0,0,0,0
ENCFF507XFA,/experiments/ENCSR121NVA/,0,0,0,0,0,0,0,0,0,0
ENCFF074MHP,/experiments/ENCSR121NVA/,0,0,0,0,0,0,0,0,0,0
ENCFF592FNJ,/experiments/ENCSR125CLF/,0,1,0,1,0,0,1,0,1,0
ENCFF096GCS,/experiments/ENCSR128BUO/,0,0,0,1,0,1,0,0,1,0
ENCFF237HET,/experiments/ENCSR128VXC/,0,0,0,0,0,0,0,0,0,0
ENCFF871WGQ,/experiments/ENCSR128VXC/,0,0,0,0,0,0,0,0,0,0
ENCFF365RSB,/experiments/ENCSR129SCO/,0,0,0,0,0,0,0,1,0,0
ENCFF974DXZ,/experiments/ENCSR130TOJ/,0,0,0,1,0,0,0,0,0,0
ENCFF942DWN,/experiments/ENCSR130ZDS/,0,0,0,0,0,0,1,0,0,0
ENCFF351MRH,/experiments/ENCSR133QEA/,1,0,0,0,0,0,0,0,0,0
ENCFF585JKL,/experiments/ENCSR133QEA/,1,0,0,0,0,0,0,0,0,0
ENCFF004CIG,/experiments/ENCSR135VMS/,0,0,0,0,0,0,0,0,0,0
ENCFF407UHQ,/experiments/ENCSR135VMS/,0,0,0,0,0,0,0,0,0,0
ENCFF850JPJ,/experiments/ENCSR138HJN/,0,1,0,0,0,0,0,1,0,0
ENCFF513AFK,/experiments/ENCSR141OIM/,0,0,0,0,0,0,0,0,0,0
ENCFF102XRX,/experiments/ENCSR141OIM/,0,0,0,0,0,0,0,0,0,0
ENCFF560DED,/experiments/ENCSR143CTS/,0,0,0,0,0,0,0,0,0,1
ENCFF398TVO,/experiments/ENCSR143CTS/,0,0,0,0,0,0,0,0,0,1
ENCFF447BHR,/experiments/ENCSR145NLR/,0,1,0,1,0,0,0,0,0,0
ENCFF402STK,/experiments/ENCSR145NLR/,0,1,0,1,0,0,0,0,0,0
ENCFF394FLG,/experiments/ENCSR145PHJ/,0,0,0,0,0,0,0,0,0,1
ENCFF291AXK,/experiments/ENCSR145ZKN/,1,0,0,0,0,0,1,1,0,0
ENCFF618ASS,/experiments/ENCSR151MPZ/,1,0,1,0,1,0,0,0,1,0
ENCFF690HVR,/experiments/ENCSR153STI/,0,0,0,0,0,0,0,0,0,0
ENCFF468HAG,/experiments/ENCSR153STI/,0,0,0,0,0,0,0,0,0,0
ENCFF533ART,/experiments/ENCSR154CSN/,0,0,1,0,0,0,0,0,0,0
ENCFF794QAR,/experiments/ENCSR154CSN/,0,0,1,0,0,0,0,0,0,0
ENCFF107UYK,/experiments/ENCSR154HRN/,0,0,0,0,0,0,1,0,0,0
ENCFF352GSS,/experiments/ENCSR154HRN/,0,0,0,0,0,0,1,0,0,0
ENCFF863JKQ,/experiments/ENCSR155XOS/,0,0,0,0,0,1,0,0,0,0
ENCFF317QOW,/experiments/ENCSR157BRV/,0,1,0,0,1,0,0,0,0,1
ENCFF196BNM,/experiments/ENCSR161TFX/,0,0,1,1,0,0,0,0,0,0
ENCFF354GQD,/experiments/ENCSR167OYL/,0,0,0,0,1,0,0,0,0,1
ENCFF470SFI,/experiments/ENCSR168VUE/,0,1,0,0,0,0,0,1,0,0
ENCFF456NCY,/experiments/ENCSR168VUE/,0,1,0,0,0,0,0,1,0,0
ENCFF624VHF,/experiments/ENCSR170XQH/,0,0,0,0,0,1,0,0,0,1
ENCFF413SVN,/experiments/ENCSR177QQY/,0,0,0,0,0,0,0,0,1,0
ENCFF916SOX,/experiments/ENCSR177QQY/,0,0,0,0,0,0,0,0,1,0
ENCFF264WXA,/experiments/ENCSR179MPN/,1,0,0,0,0,0,0,0,0,0
ENCFF604OCB,/experiments/ENCSR179MPN/,1,0,0,0,0,0,0,0,0,0
ENCFF971JKG,/experiments/ENCSR180EJY/,1,0,0,0,0,0,0,0,0,0
ENCFF361EVD,/experiments/ENCSR181NRW/,1,1,0,0,0,0,1,0,0,0
ENCFF411LMS,/experiments/ENCSR181NRW/,1,1,0,0,0,0,1,0,0,0
ENCFF808IYM,/experiments/ENCSR181YHI/,0,0,0,1,0,0,0,0,0,0
ENCFF851DJV,/experiments/ENCSR181YHI/,0,0,0,1,0,0,0,0,0,0
ENCFF794KAP,/experiments/ENCSR182AEG/,0,0,1,0,1,0,0,0,0,1
ENCFF401KWK,/experiments/ENCSR183FVK/,0,0,0,0,1,0,1,1,1,0
ENCFF137LSG,/experiments/ENCSR187VEQ/,0,0,0,0,1,1,0,0,1,0
ENCFF868WQR,/experiments/ENCSR187VEQ/,0,0,0,0,1,1,0,0,1,0
ENCFF655TIR,/experiments/ENCSR188OHK/,0,1,0,0,0,1,0,0,1,0
ENCFF512AHQ,/experiments/ENCSR192PUP/,0,1,1,0,0,0,0,1,0,0
ENCFF611LDZ,/experiments/ENCSR192TPA/,1,0,0,0,1,0,0,1,0,0
ENCFF335AAR,/experiments/ENCSR194AVW/,0,1,1,0,0,0,0,1,1,1
ENCFF537BAJ,/experiments/ENCSR194HZU/,0,1,0,0,1,0,1,0,0,0
ENCFF656UJI,/experiments/ENCSR194HZU/,0,1,0,0,1,0,1,0,0,0
ENCFF113HCY,/experiments/ENCSR195IWB/,0,1,1,0,1,1,1,1,0,1
ENCFF008EYG,/experiments/ENCSR196INN/,1,0,0,0,1,0,1,0,0,1
ENCFF688FME,/experiments/ENCSR196INN/,1,0,0,0,1,0,1,0,0,1
ENCFF045ANJ,/experiments/ENCSR197INS/,0,0,0,0,0,1,0,1,0,0
ENCFF234LRU,/experiments/ENCSR197INS/,0,0,0,0,0,1,0,1,0,0
ENCFF793DFG,/experiments/ENCSR197LHH/,0,0,1,0,0,0,0,0,0,0
ENCFF413EEC,/experiments/ENCSR197NFH/,0,0,0,0,0,0,0,0,0,0
ENCFF962AUM,/experiments/ENCSR200DKE/,0,1,0,0,0,0,0,0,0,0
ENCFF569EHE,/experiments/ENCSR200DKE/,0,1,0,0,0,0,0,0,0,0
ENCFF409TRK,/experiments/ENCSR200SAU/,0,0,1,0,0,0,0,1,1,1
ENCFF912MAK,/experiments/ENCSR202BFN/,0,0,1,0,0,0,1,0,0,0
ENCFF565HKG,/experiments/ENCSR202BFN/,0,0,1,0,0,0,1,0,0,0
ENCFF915BUQ,/experiments/ENCSR202HKN/,1,0,1,0,0,0,0,0,1,1
ENCFF953XOY,/experiments/ENCSR202HKN/,1,0,1,0,0,0,0,0,1,1
ENCFF207TDD,/experiments/ENCSR205ZCE/,1,1,0,1,0,0,0,0,0,0
ENCFF941NZR,/experiments/ENCSR206RXT/,0,0,0,0,0,0,1,0,0,1
ENCFF368HXQ,/experiments/ENCSR206RXT/,0,0,0,0,0,0,1,0,0,1
ENCFF301TAX,/experiments/ENCSR207DWI/,0,0,0,0,1,0,0,0,0,0
ENCFF018ESM,/experiments/ENCSR212ILN/,1,0,0,0,0,0,0,0,0,0
